Customer Id,Date,Time,Pulse,Amount
CUS1101313,25-Mar-2016,09:42:58,489,39.12
CUS1101314,25-Mar-2016,19:19:23,218,17.44
CUS1101312,26-Mar-2016,09:58:24,84,6.72
CUS1101311,26-Mar-2016,10:03:26,1314,105.12
CUS1101313,26-Mar-2016,13:21:35,340,27.2
CUS1101313,28-Mar-2016,14:24:35,785,62.8
CUS1101311,29-Mar-2016,10:17:23,678,54.24
CUS1101315,29-Mar-2016,10:18:17,1246,99.68
CUS1101313,31-Mar-2016,14:22:40,1425,114
CUS1101313,02-Apr-2016,11:22:37,236,18.88
CUS1101314,02-Apr-2016,13:13:44,1153,92.24
CUS1101311,03-Apr-2016,09:14:10,448,35.84
CUS1101312,05-Apr-2016,13:53:51,868,69.44
CUS1101313,06-Apr-2016,16:58:36,513,41.04
CUS1101315,07-Apr-2016,11:13:48,1110,88.8
CUS1101311,08-Apr-2016,10:25:47,1216,97.28
CUS1101314,08-Apr-2016,15:47:03,1471,117.68
CUS1101312,08-Apr-2016,19:08:31,133,10.64
CUS1101314,08-Apr-2016,19:35:37,596,47.68
CUS1101311,08-Apr-2016,20:36:10,974,77.92
CUS1101315,09-Apr-2016,08:39:03,750,60
CUS1101313,09-Apr-2016,12:32:16,313,25.04
CUS1101314,09-Apr-2016,13:55:07,169,13.52
CUS1101315,09-Apr-2016,17:58:33,993,79.44
CUS1101313,09-Apr-2016,18:16:31,213,17.04
CUS1101313,10-Apr-2016,09:01:35,395,31.6
CUS1101314,10-Apr-2016,09:49:12,425,34
CUS1101314,10-Apr-2016,11:38:50,1023,81.84
CUS1101314,10-Apr-2016,12:14:05,214,17.12
CUS1101315,10-Apr-2016,13:23:30,967,77.36
CUS1101311,10-Apr-2016,14:48:33,982,78.56
CUS1101311,10-Apr-2016,14:49:47,693,55.44
CUS1101313,10-Apr-2016,14:54:36,1175,94
CUS1101313,10-Apr-2016,15:01:12,1056,84.48
CUS1101311,10-Apr-2016,16:22:05,507,40.56
CUS1101311,10-Apr-2016,20:15:51,15,1.2
CUS1101315,10-Apr-2016,20:41:43,341,27.28
CUS1101311,11-Apr-2016,20:57:00,1176,94.08
CUS1101315,11-Apr-2016,21:18:40,1252,100.16
CUS1101313,11-Apr-2016,21:28:37,265,21.2
CUS1101314,11-Apr-2016,21:40:28,1402,112.16
CUS1101314,12-Apr-2016,20:10:00,904,72.32
CUS1101314,12-Apr-2016,22:18:38,704,56.32
CUS1101315,13-Apr-2016,19:07:50,770,61.6
CUS1101312,13-Apr-2016,19:14:19,1407,112.56
CUS1101313,14-Apr-2016,10:48:53,314,25.12
CUS1101311,14-Apr-2016,12:21:34,485,38.8
CUS1101315,14-Apr-2016,15:58:39,1378,110.24
CUS1101315,15-Apr-2016,21:52:15,437,34.96
CUS1101314,23-Mar-2016,21:18:39,1072,85.76
CUS1101311,24-Mar-2016,20:35:19,851,68.08
CUS1101315,25-Mar-2016,12:35:05,1177,94.16
CUS1101312,30-Mar-2016,11:18:25,1376,110.08
CUS1101315,31-Mar-2016,08:50:10,1010,80.8
CUS1101314,31-Mar-2016,14:41:40,670,53.6
CUS1101315,31-Mar-2016,21:19:52,89,7.12
CUS1101312,02-Apr-2016,08:19:52,1396,111.68
CUS1101313,08-Apr-2016,09:14:57,1085,86.8
CUS1101313,08-Apr-2016,10:14:34,1102,88.16
CUS1101311,08-Apr-2016,11:32:39,109,8.72
CUS1101312,08-Apr-2016,15:35:41,551,44.08
CUS1101314,08-Apr-2016,15:37:45,584,46.72
CUS1101312,08-Apr-2016,17:05:46,793,63.44
CUS1101315,08-Apr-2016,17:06:25,226,18.08
CUS1101311,09-Apr-2016,09:30:36,140,11.2
CUS1101312,09-Apr-2016,10:29:46,1291,103.28
CUS1101315,09-Apr-2016,11:27:40,232,18.56
CUS1101311,09-Apr-2016,14:53:56,472,37.76
CUS1101313,11-Apr-2016,13:37:04,966,77.28
CUS1101315,12-Apr-2016,22:06:53,1474,117.92
CUS1101313,13-Apr-2016,10:03:48,727,58.16
CUS1101311,14-Apr-2016,19:08:15,867,69.36
CUS1101314,14-Apr-2016,21:24:48,878,70.24
CUS1101312,15-Apr-2016,13:48:38,1422,113.76
CUS1101311,16-Apr-2016,15:37:54,136,10.88
CUS1101315,18-Apr-2016,10:25:59,784,62.72
CUS1101314,18-Apr-2016,18:05:41,235,18.8
CUS1101311,20-Apr-2016,14:13:01,612,48.96
CUS1101314,20-Apr-2016,15:41:55,662,52.96
CUS1101314,20-Apr-2016,15:47:33,663,53.04
CUS1101315,20-Apr-2016,15:51:08,184,14.72
CUS1101315,21-Apr-2016,13:54:29,12,0.96
CUS1101313,21-Apr-2016,18:23:51,340,27.2
CUS1101312,22-Apr-2016,19:51:03,59,4.72
